index,title,md_path,guide_path,input_source,input_chars,status,error
1,关于印发《雄安新区专精特新企业培育库动态管理警示（出库）企业名单（第二批）》的通知,data/xiongan_policy_files/policy_md/001_2026-04-28_关于印发《雄安新区专精特新企业培育库动态管理警示（出库）企业名单（第二批）》的通知.md,data/xiongan_policy_files/declaration_guides/001_2026-04-28_关于印发《雄安新区专精特新企业培育库动态管理警示（出库）企业名单（第二批）》的通知_申报指南.md,full_markdown,1485,summarized,
2,关于举办2026年河北省雄安新区中级技术经理人能力提升研修活动的通知,data/xiongan_policy_files/policy_md/002_2026-04-27_关于举办2026年河北省雄安新区中级技术经理人能力提升研修活动的通知.md,data/xiongan_policy_files/declaration_guides/002_2026-04-27_关于举办2026年河北省雄安新区中级技术经理人能力提升研修活动的通知_申报指南.md,full_markdown,2622,summarized,
3,关于开展2026年专精特新“小巨人”企业认定和复核推荐工作的通知,data/xiongan_policy_files/policy_md/003_2026-04-23_关于开展2026年专精特新“小巨人”企业认定和复核推荐工作的通知.md,data/xiongan_policy_files/declaration_guides/003_2026-04-23_关于开展2026年专精特新“小巨人”企业认定和复核推荐工作的通知_申报指南.md,full_markdown,6400,summarized,
4,关于转发《关于征集遴选2026年科技骨干企业的通知》的通知,data/xiongan_policy_files/policy_md/004_2026-03-19_关于转发《关于征集遴选2026年科技骨干企业的通知》的通知.md,data/xiongan_policy_files/declaration_guides/004_2026-03-19_关于转发《关于征集遴选2026年科技骨干企业的通知》的通知_申报指南.md,full_markdown,3209,summarized,
5,雄安新区工信科技数据局关于延期组织2026年度中央引导地方科技发展资金雄安场景成果转化与技术攻关项目的通知,data/xiongan_policy_files/policy_md/005_2026-03-19_雄安新区工信科技数据局关于延期组织2026年度中央引导地方科技发展资金雄安场景成果转化与技术攻关项目的通知.md,data/xiongan_policy_files/declaration_guides/005_2026-03-19_雄安新区工信科技数据局关于延期组织2026年度中央引导地方科技发展资金雄安场景成果转化与技术攻关项目的通知_申报指南.md,full_markdown,420,summarized,
6,关于延长2026年雄安新区企业技术中心申报时间的通知,data/xiongan_policy_files/policy_md/006_2026-03-17_关于延长2026年雄安新区企业技术中心申报时间的通知.md,data/xiongan_policy_files/declaration_guides/006_2026-03-17_关于延长2026年雄安新区企业技术中心申报时间的通知_申报指南.md,full_markdown,902,summarized,
7,关于开展2026年度雄安新区“特岗特薪”特聘岗位申报工作的通知,data/xiongan_policy_files/policy_md/007_2026-03-12_关于开展2026年度雄安新区“特岗特薪”特聘岗位申报工作的通知.md,data/xiongan_policy_files/declaration_guides/007_2026-03-12_关于开展2026年度雄安新区“特岗特薪”特聘岗位申报工作的通知_申报指南.md,full_markdown,5862,summarized,
8,雄安新区工信科技数据局关于申报2026年度中央引导地方科技发展资金雄安场景成果转化与技术攻关项目的通知,data/xiongan_policy_files/policy_md/008_2026-03-12_雄安新区工信科技数据局关于申报2026年度中央引导地方科技发展资金雄安场景成果转化与技术攻关项目的通知.md,data/xiongan_policy_files/declaration_guides/008_2026-03-12_雄安新区工信科技数据局关于申报2026年度中央引导地方科技发展资金雄安场景成果转化与技术攻关项目的通知_申报指南.md,full_markdown,931,summarized,
9,关于举办“北斗技术融合创新案例征集活动（首场：北斗+大众消费）”的通知,data/xiongan_policy_files/policy_md/009_2026-02-06_关于举办“北斗技术融合创新案例征集活动（首场：北斗+大众消费）”的通知.md,data/xiongan_policy_files/declaration_guides/009_2026-02-06_关于举办“北斗技术融合创新案例征集活动（首场：北斗+大众消费）”的通知_申报指南.md,full_markdown,5581,summarized,
10,关于组织开展跨境人民币结算奖励及外贸企业汇率避险奖励资金申报工作的通知,data/xiongan_policy_files/policy_md/010_2026-02-02_关于组织开展跨境人民币结算奖励及外贸企业汇率避险奖励资金申报工作的通知.md,data/xiongan_policy_files/declaration_guides/010_2026-02-02_关于组织开展跨境人民币结算奖励及外贸企业汇率避险奖励资金申报工作的通知_申报指南.md,full_markdown,3508,summarized,
11,关于做好2026年度雄安新区基层科普行动计划实施工作的通知,data/xiongan_policy_files/policy_md/011_2026-01-27_关于做好2026年度雄安新区基层科普行动计划实施工作的通知.md,data/xiongan_policy_files/declaration_guides/011_2026-01-27_关于做好2026年度雄安新区基层科普行动计划实施工作的通知_申报指南.md,full_markdown,9209,summarized,
12,关于征求《雄安新区“共享智造”实施细则（试行）》意见的函,data/xiongan_policy_files/policy_md/012_2026-01-20_关于征求《雄安新区“共享智造”实施细则（试行）》意见的函.md,data/xiongan_policy_files/declaration_guides/012_2026-01-20_关于征求《雄安新区“共享智造”实施细则（试行）》意见的函_申报指南.md,full_markdown,31206,summarized,
13,关于组织第一批“雄安工坊”试点产品申报的通知,data/xiongan_policy_files/policy_md/013_2025-12-24_关于组织第一批“雄安工坊”试点产品申报的通知.md,data/xiongan_policy_files/declaration_guides/013_2025-12-24_关于组织第一批“雄安工坊”试点产品申报的通知_申报指南.md,full_markdown,14103,summarized,
14,关于印发《雄安新区知识产权专员管理办法》的通知,data/xiongan_policy_files/policy_md/014_2025-12-08_关于印发《雄安新区知识产权专员管理办法》的通知.md,data/xiongan_policy_files/declaration_guides/014_2025-12-08_关于印发《雄安新区知识产权专员管理办法》的通知_申报指南.md,full_markdown,2948,summarized,
15,关于开展雄安新区中小企业服务资源库入库征集工作的通知,data/xiongan_policy_files/policy_md/015_2025-11-17_关于开展雄安新区中小企业服务资源库入库征集工作的通知.md,data/xiongan_policy_files/declaration_guides/015_2025-11-17_关于开展雄安新区中小企业服务资源库入库征集工作的通知_申报指南.md,full_markdown,20860,summarized,
16,关于印发《关于鼓励和支持中国（河北）自由贸易试验区雄安片区深化制度创新的若干措施》的通知,data/xiongan_policy_files/policy_md/016_2025-10-16_关于印发《关于鼓励和支持中国（河北）自由贸易试验区雄安片区深化制度创新的若干措施》的通知.md,data/xiongan_policy_files/declaration_guides/016_2025-10-16_关于印发《关于鼓励和支持中国（河北）自由贸易试验区雄安片区深化制度创新的若干措施》的通知_申报指南.md,full_markdown,6818,summarized,
17,关于开展2025年雄安新区“百项转型”项目申报工作的通知,data/xiongan_policy_files/policy_md/017_2025-09-29_关于开展2025年雄安新区“百项转型”项目申报工作的通知.md,data/xiongan_policy_files/declaration_guides/017_2025-09-29_关于开展2025年雄安新区“百项转型”项目申报工作的通知_申报指南.md,full_markdown,13266,summarized,
18,关于组织开展瞪羚、潜在独角兽、独角兽企业申报工作的预通知,data/xiongan_policy_files/policy_md/018_2025-09-28_关于组织开展瞪羚、潜在独角兽、独角兽企业申报工作的预通知.md,data/xiongan_policy_files/declaration_guides/018_2025-09-28_关于组织开展瞪羚、潜在独角兽、独角兽企业申报工作的预通知_申报指南.md,full_markdown,3751,summarized,
19,关于组织开展2025年雄安新区“专精特新”培育库企业人库工作的通知,data/xiongan_policy_files/policy_md/019_2025-09-28_关于组织开展2025年雄安新区“专精特新”培育库企业人库工作的通知.md,data/xiongan_policy_files/declaration_guides/019_2025-09-28_关于组织开展2025年雄安新区“专精特新”培育库企业人库工作的通知_申报指南.md,full_markdown,1934,summarized,
20,关于组织开展2025年度省重点实验室和省技术创新中心申报工作的通知,data/xiongan_policy_files/policy_md/020_2025-09-28_关于组织开展2025年度省重点实验室和省技术创新中心申报工作的通知.md,data/xiongan_policy_files/declaration_guides/020_2025-09-28_关于组织开展2025年度省重点实验室和省技术创新中心申报工作的通知_申报指南.md,full_markdown,1445,summarized,
21,河北雄安新区改革发展局关于印发《〈关于促进雄安新区物流业高质量发展的若干措施〉实施细则(试行)》的通知,data/xiongan_policy_files/policy_md/021_2025-09-25_河北雄安新区改革发展局关于印发《〈关于促进雄安新区物流业高质量发展的若干措施〉实施细则(试行)》的通知.md,data/xiongan_policy_files/declaration_guides/021_2025-09-25_河北雄安新区改革发展局关于印发《〈关于促进雄安新区物流业高质量发展的若干措施〉实施细则(试行)》的通知_申报指南.md,full_markdown,9468,summarized,
22,关于印发《雄安新区支持高端高新制造业发展的若干措施》的通知,data/xiongan_policy_files/policy_md/022_2025-09-15_关于印发《雄安新区支持高端高新制造业发展的若干措施》的通知.md,data/xiongan_policy_files/declaration_guides/022_2025-09-15_关于印发《雄安新区支持高端高新制造业发展的若干措施》的通知_申报指南.md,full_markdown,2874,summarized,
23,关于征集2025年度雄安新区本级科技攻关 项目（人工智能领域）的通知,data/xiongan_policy_files/policy_md/023_2025-09-10_关于征集2025年度雄安新区本级科技攻关 项目（人工智能领域）的通知.md,data/xiongan_policy_files/declaration_guides/023_2025-09-10_关于征集2025年度雄安新区本级科技攻关 项目（人工智能领域）的通知_申报指南.md,full_markdown,33721,summarized,
24,关于转发《河北省工业和信息化厅关于开展2025 年第二批河北省专精特新中小企业认定工作的通知》的通知,data/xiongan_policy_files/policy_md/024_2025-08-20_关于转发《河北省工业和信息化厅关于开展2025 年第二批河北省专精特新中小企业认定工作的通知》的通知.md,data/xiongan_policy_files/declaration_guides/024_2025-08-20_关于转发《河北省工业和信息化厅关于开展2025 年第二批河北省专精特新中小企业认定工作的通知》的通知_申报指南.md,full_markdown,24139,summarized,
