index,title,info_id,publish_time,publish_unit,issue_level,attachment_count,source_paths,md_path,status,error
1,关于印发《雄安新区专精特新企业培育库动态管理警示（出库）企业名单（第二批）》的通知,POLICYFILE5738090210tzlki,2026-04-28,河北雄安新区工信科技数据局,市级,1,data/xiongan_policy_files/pdfs/001_2026-04-28_关于印发《雄安新区专精特新企业培育库动态管理警示（出库）企业名单（第二批）》的通知.pdf,data/xiongan_policy_files/policy_md/001_2026-04-28_关于印发《雄安新区专精特新企业培育库动态管理警示（出库）企业名单（第二批）》的通知.md,converted,
2,关于举办2026年河北省雄安新区中级技术经理人能力提升研修活动的通知,POLICYFILE2944063176hwttn,2026-04-27,,市级,1,data/xiongan_policy_files/pdfs/002_2026-04-27_关于举办2026年河北省雄安新区中级技术经理人能力提升研修活动的通知.pdf,data/xiongan_policy_files/policy_md/002_2026-04-27_关于举办2026年河北省雄安新区中级技术经理人能力提升研修活动的通知.md,converted,
3,关于开展2026年专精特新“小巨人”企业认定和复核推荐工作的通知,POLICYFILE5421376803donqt,2026-04-23,河北雄安新区工信科技数据局,市级,1,data/xiongan_policy_files/pdfs/003_2026-04-23_关于开展2026年专精特新“小巨人”企业认定和复核推荐工作的通知.pdf,data/xiongan_policy_files/policy_md/003_2026-04-23_关于开展2026年专精特新“小巨人”企业认定和复核推荐工作的通知.md,converted,
4,关于转发《关于征集遴选2026年科技骨干企业的通知》的通知,POLICYFILE7736764786ecjzr,2026-03-19,河北雄安新区工信科技数据局,市级,2,data/xiongan_policy_files/files/004_2026-03-19_河北省科技骨干企业申报书.docx;data/xiongan_policy_files/files/004_2026-03-19_科技骨干企业汇总表.docx,data/xiongan_policy_files/policy_md/004_2026-03-19_关于转发《关于征集遴选2026年科技骨干企业的通知》的通知.md,converted,
5,雄安新区工信科技数据局关于延期组织2026年度中央引导地方科技发展资金雄安场景成果转化与技术攻关项目的通知,POLICYFILE8333984761qvrrc,2026-03-19,河北雄安新区工信科技数据局,市级,0,,data/xiongan_policy_files/policy_md/005_2026-03-19_雄安新区工信科技数据局关于延期组织2026年度中央引导地方科技发展资金雄安场景成果转化与技术攻关项目的通知.md,converted,
6,关于延长2026年雄安新区企业技术中心申报时间的通知,POLICYFILE7644550259cypyp,2026-03-17,,市级,1,data/xiongan_policy_files/pdfs/006_2026-03-17_关于延长2026年雄安新区企业技术中心申报时间的通知.pdf,data/xiongan_policy_files/policy_md/006_2026-03-17_关于延长2026年雄安新区企业技术中心申报时间的通知.md,converted,
7,关于开展2026年度雄安新区“特岗特薪”特聘岗位申报工作的通知,POLICYFILE6641133874ersag,2026-03-12,,市级,1,data/xiongan_policy_files/pdfs/007_2026-03-12_关于开展2026年度雄安新区“特岗特薪”特聘岗位申报工作的通知.pdf,data/xiongan_policy_files/policy_md/007_2026-03-12_关于开展2026年度雄安新区“特岗特薪”特聘岗位申报工作的通知.md,converted,
8,雄安新区工信科技数据局关于申报2026年度中央引导地方科技发展资金雄安场景成果转化与技术攻关项目的通知,POLICYFILE9146156376eliaw,2026-03-12,河北雄安新区工信科技数据局,市级,0,,data/xiongan_policy_files/policy_md/008_2026-03-12_雄安新区工信科技数据局关于申报2026年度中央引导地方科技发展资金雄安场景成果转化与技术攻关项目的通知.md,converted,
9,关于举办“北斗技术融合创新案例征集活动（首场：北斗+大众消费）”的通知,POLICYFILE4030779498jaflv,2026-02-06,,市级,1,data/xiongan_policy_files/files/009_2026-02-06_附件：北斗技术融合创新案例征集活动申报书.docx,data/xiongan_policy_files/policy_md/009_2026-02-06_关于举办“北斗技术融合创新案例征集活动（首场：北斗+大众消费）”的通知.md,converted,
10,关于组织开展跨境人民币结算奖励及外贸企业汇率避险奖励资金申报工作的通知,POLICYFILE9386491647khldh,2026-02-02,,市级,2,data/xiongan_policy_files/files/010_2026-02-02_附件1跨境人民币结算奖励资金申报指南.docx;data/xiongan_policy_files/files/010_2026-02-02_附件2外贸企业汇率避险奖励资金申报指南.docx,data/xiongan_policy_files/policy_md/010_2026-02-02_关于组织开展跨境人民币结算奖励及外贸企业汇率避险奖励资金申报工作的通知.md,converted,
11,关于做好2026年度雄安新区基层科普行动计划实施工作的通知,POLICYFILE2569695534pnomc,2026-01-27,河北雄安新区工信科技数据局,市级,1,data/xiongan_policy_files/files/011_2026-01-27_2026年度基层科普行动计划申报书.docx,data/xiongan_policy_files/policy_md/011_2026-01-27_关于做好2026年度雄安新区基层科普行动计划实施工作的通知.md,converted,
12,关于征求《雄安新区“共享智造”实施细则（试行）》意见的函,POLICYFILE7282388411zbvpj,2026-01-20,河北雄安新区工信科技数据局,市级,1,data/xiongan_policy_files/pdfs/012_2026-01-20_关于征求《雄安新区“共享智造”实施细则（试行）》意见的函(1).pdf,data/xiongan_policy_files/policy_md/012_2026-01-20_关于征求《雄安新区“共享智造”实施细则（试行）》意见的函.md,converted,
13,关于组织第一批“雄安工坊”试点产品申报的通知,POLICYFILE1900223978dkrfp,2025-12-24,"河北雄安新区工信科技数据局,河北雄安新区综合执法局,河北雄安新区商务和投资促进局",市级,2,data/xiongan_policy_files/files/013_2025-12-24_关于组织第一批“雄安工坊”试点产品申报的通知.docx;data/xiongan_policy_files/files/013_2025-12-24_相关附件.docx,data/xiongan_policy_files/policy_md/013_2025-12-24_关于组织第一批“雄安工坊”试点产品申报的通知.md,converted,
14,关于印发《雄安新区知识产权专员管理办法》的通知,POLICYFILE5680134148hldgg,2025-12-08,河北雄安新区综合执法局,市级,1,data/xiongan_policy_files/pdfs/014_2025-12-08_关于印发《雄安新区知识产权专员管理办法》的通知.pdf,data/xiongan_policy_files/policy_md/014_2025-12-08_关于印发《雄安新区知识产权专员管理办法》的通知.md,converted,
15,关于开展雄安新区中小企业服务资源库入库征集工作的通知,POLICYFILE5521868567obumb,2025-11-17,,市级,1,data/xiongan_policy_files/files/015_2025-11-17_附件.docx,data/xiongan_policy_files/policy_md/015_2025-11-17_关于开展雄安新区中小企业服务资源库入库征集工作的通知.md,converted,
16,关于印发《关于鼓励和支持中国（河北）自由贸易试验区雄安片区深化制度创新的若干措施》的通知,POLICYFILE1092084653xekbx,2025-10-16,"河北雄安新区党政办公室,雄安自贸试验区管委会",市级,2,data/xiongan_policy_files/files/016_2025-10-16_雄安自贸试验区制度创新资金奖励申报表.docx;data/xiongan_policy_files/files/016_2025-10-16_雄安自贸试验区“揭榜挂帅”示范项目资金奖励申报表.docx,data/xiongan_policy_files/policy_md/016_2025-10-16_关于印发《关于鼓励和支持中国（河北）自由贸易试验区雄安片区深化制度创新的若干措施》的通知.md,converted,
17,关于开展2025年雄安新区“百项转型”项目申报工作的通知,POLICYFILE0485279312blzxe,2025-09-29,河北雄安新区工信科技数据局,市级,1,data/xiongan_policy_files/pdfs/017_2025-09-29_关于开展2025年雄安新区“百项转型”项目申报工作的通知.pdf,data/xiongan_policy_files/policy_md/017_2025-09-29_关于开展2025年雄安新区“百项转型”项目申报工作的通知.md,converted,
18,关于组织开展瞪羚、潜在独角兽、独角兽企业申报工作的预通知,POLICYFILE2699305329jqriy,2025-09-28,河北雄安新区工信科技数据局,市级,1,data/xiongan_policy_files/pdfs/018_2025-09-28_关于组织开展瞪羚、独角兽（潜在）企业申报工作的预通知.pdf,data/xiongan_policy_files/policy_md/018_2025-09-28_关于组织开展瞪羚、潜在独角兽、独角兽企业申报工作的预通知.md,converted,
19,关于组织开展2025年雄安新区“专精特新”培育库企业人库工作的通知,POLICYFILE1309552766zrtgd,2025-09-28,河北雄安新区工信科技数据局,市级,1,data/xiongan_policy_files/pdfs/019_2025-09-28_关于组织开展2025雄安新区专精特新培育库入库工作的通知.pdf,data/xiongan_policy_files/policy_md/019_2025-09-28_关于组织开展2025年雄安新区“专精特新”培育库企业人库工作的通知.md,converted,
20,关于组织开展2025年度省重点实验室和省技术创新中心申报工作的通知,POLICYFILE4199167879wuigi,2025-09-28,河北雄安新区工信科技数据局,市级,0,,data/xiongan_policy_files/policy_md/020_2025-09-28_关于组织开展2025年度省重点实验室和省技术创新中心申报工作的通知.md,converted,
21,河北雄安新区改革发展局关于印发《〈关于促进雄安新区物流业高质量发展的若干措施〉实施细则(试行)》的通知,POLICYFILE4034786782dobzf,2025-09-25,河北雄安新区改革发展局,市级,1,data/xiongan_policy_files/pdfs/021_2025-09-25_关于印发《关于促进雄安新区物流业高质量发展的若干措施》实施细则（试行）的通知.pdf,data/xiongan_policy_files/policy_md/021_2025-09-25_河北雄安新区改革发展局关于印发《〈关于促进雄安新区物流业高质量发展的若干措施〉实施细则(试行)》的通知.md,converted,
22,关于印发《雄安新区支持高端高新制造业发展的若干措施》的通知,POLICYFILE8814076401zxdkr,2025-09-15,河北雄安新区工信科技数据局,市级,1,data/xiongan_policy_files/pdfs/022_2025-09-15_雄安工科数字〔2025〕16号(1).pdf,data/xiongan_policy_files/policy_md/022_2025-09-15_关于印发《雄安新区支持高端高新制造业发展的若干措施》的通知.md,converted,
23,关于征集2025年度雄安新区本级科技攻关 项目（人工智能领域）的通知,POLICYFILE3639135484hdnvz,2025-09-10,河北雄安新区工信科技数据局,市级,1,data/xiongan_policy_files/pdfs/023_2025-09-10_项目申报阶段操作手册-申报单位和申报人.pdf,data/xiongan_policy_files/policy_md/023_2025-09-10_关于征集2025年度雄安新区本级科技攻关 项目（人工智能领域）的通知.md,converted,
24,关于转发《河北省工业和信息化厅关于开展2025 年第二批河北省专精特新中小企业认定工作的通知》的通知,POLICYFILE4437362951dbdsa,2025-08-20,河北雄安新区工信科技数据局,市级,3,data/xiongan_policy_files/files/024_2025-08-20_附件1_河北省专精特新中小企业认定申请表.docx;data/xiongan_policy_files/files/024_2025-08-20_附件2_河北省专精特新中小企业认定申报佐证材料清单.docx;data/xiongan_policy_files/files/024_2025-08-20_附件3_2025年第二批河北省专精特新中小企业申报推荐汇总表.docx,data/xiongan_policy_files/policy_md/024_2025-08-20_关于转发《河北省工业和信息化厅关于开展2025 年第二批河北省专精特新中小企业认定工作的通知》的通知.md,converted,
25,关于转发省科技厅征集遴选科技骨干企业的通知,POLICYFILE0466308844prdie,2025-08-14,河北雄安新区工信科技数据局,市级,1,data/xiongan_policy_files/files/025_2025-08-14_附件河北省科技骨干企业申报书.docx,data/xiongan_policy_files/policy_md/025_2025-08-14_关于转发省科技厅征集遴选科技骨干企业的通知.md,converted,
26,关于组织2025年度河北省科学技术奖提名预审的通知,POLICYFILE9956556703neqkf,2025-08-13,河北雄安新区工信科技数据局,市级,2,data/xiongan_policy_files/pdfs/026_2025-08-13_附件1 2025年度河北省科学技术奖预审表.pdf;data/xiongan_policy_files/pdfs/026_2025-08-13_附件2 征集意见表.pdf,data/xiongan_policy_files/policy_md/026_2025-08-13_关于组织2025年度河北省科学技术奖提名预审的通知.md,converted,
27,关于加强高新技术企业培育库企业管理的通知,POLICYFILE3713254394yghcr,2025-07-30,河北雄安新区工信科技数据局,市级,1,data/xiongan_policy_files/pdfs/027_2025-07-30_关于加强高新技术企业培育库企业管理的通知.pdf,data/xiongan_policy_files/policy_md/027_2025-07-30_关于加强高新技术企业培育库企业管理的通知.md,converted,
28,关于开展 2025 年全省优秀科普作品评选活动的通知,POLICYFILE9421662599repip,2025-07-18,河北雄安新区工信科技数据局,市级,1,data/xiongan_policy_files/pdfs/028_2025-07-18_关于开展2025年全省优秀科普作品评选活动的通知.pdf,data/xiongan_policy_files/policy_md/028_2025-07-18_关于开展 2025 年全省优秀科普作品评选活动的通知.md,converted,
29,关于开展2025年度国家科技型中小企业评价工作的通知,POLICYFILE9739373791wyfrq,2025-07-16,河北雄安新区工信科技数据局,市级,0,,data/xiongan_policy_files/policy_md/029_2025-07-16_关于开展2025年度国家科技型中小企业评价工作的通知.md,converted,
30,京津冀赋能雄安发展百项高价值专利技术,POLICYFILE1570004232qanpe,2025-07-11,,市级,1,data/xiongan_policy_files/pdfs/030_2025-07-11_京津冀赋能雄安发展百项高价值专利技术.pdf,data/xiongan_policy_files/policy_md/030_2025-07-11_京津冀赋能雄安发展百项高价值专利技术.md,converted,
31,关于征集专利技术需求的通知,POLICYFILE1610627538ymgws,2025-07-10,新区其它部门,市级,1,data/xiongan_policy_files/files/031_2025-07-10_附件-专利技术需求征集表.docx,data/xiongan_policy_files/policy_md/031_2025-07-10_关于征集专利技术需求的通知.md,converted,
32,关于组织召开2025年河北省科技创新平台申报培训会的通知,POLICYFILE7649085646czliv,2025-07-03,河北雄安新区工信科技数据局,市级,1,data/xiongan_policy_files/pdfs/032_2025-07-03_关于组织召开2025年河北省科技创新平台申报.pdf,data/xiongan_policy_files/policy_md/032_2025-07-03_关于组织召开2025年河北省科技创新平台申报培训会的通知.md,converted,
